right_echo_point
0.0035456547,0.0036201379,0.0038355894,0.0040511084,0.0041256263,0.0112078283
left_echo_point
0.0035761478,0.0036506311,0.0038660825,0.0040816157,0.0041561336,0.0112123294
distance

angle

emit_points
"(6192, 2900)"
echo_points
"(8159, 2878)","(6611, 957)","(8200, 2877)","(8319, 2876)","(8438, 2876)","(6670, 683)","(8480, 2875)","(11724, 115)"
echo_points_power
106.73643420204615,132.00593928475436,154.97784735095524,1815.8502158911865,154.52837215272348,131.06116773618066,109.68782625896904,163.6521039532793
echo_points_time_r_l
"[0.0035456547, 0.0035761478]","[0.0036201379, 0.0035761478]","[0.0036201379, 0.0036506311]","[0.0038355894, 0.0038660825]","[0.0040511084, 0.0040816157]","[0.0041256263, 0.0040816157]","[0.0041256263, 0.0041561336]","[0.0112078283, 0.0112123294]"
echo_points_power_r_l
"[56.076197035486366, 50.66023716655979]","[81.34570211819457, 50.66023716655979]","[81.34570211819457, 73.63214523276068]","[952.9628924163188, 862.8873234748678]","[81.00498398715703, 73.52338816556643]","[57.53777957061422, 73.52338816556643]","[57.53777957061422, 52.15004668835483]","[79.98276443804153, 83.66933951523777]"
