right_echo_point
0.0054844529,0.0115554119,0.0123611055,0.0176411141
left_echo_point
0.0054734503,0.0115509108,0.0123771094,0.0176376197
distance

angle

emit_points
"(1983, 2500)"
echo_points
"(4996, 2209)","(8365, 2581)","(8389, 4880)","(11724, 2786)"
echo_points_power
148.83591107281336,141.51859332974718,219.80518478737218,179.33369496674277
echo_points_time_r_l
"[0.0054844529, 0.0054734503]","[0.0115554119, 0.0115509108]","[0.0123611055, 0.0123771094]","[0.0176411141, 0.0176376197]"
echo_points_power_r_l
"[70.16340991789265, 78.6725011549207]","[76.5657747863746, 64.95281854337257]","[112.53843095556037, 107.2667538318118]","[74.10000308942945, 105.2336918773133]"
