,bat_id,pulse_id,distance_to_edge [cm],"flight_id (0:first, 1:last)"
316,G,26,0,0
317,G,26,35,0
318,G,26,39,0
319,G,27,41,0
320,G,27,40,0
321,G,28,40,0
322,G,28,39,0
323,G,28,54,0
324,G,29,37,0
325,G,30,32,0
326,G,31,28,0
327,G,31,28,0
328,G,31,52,0
329,G,32,23,0
330,G,32,23,0
331,G,32,15,0
332,G,33,21,0
333,G,33,22,0
334,G,33,16,0
335,G,33,58,0
336,G,34,15,0
337,G,34,14,0
338,G,34,14,0
339,G,34,14,0
340,G,34,12,0
341,G,34,13,0
342,G,35,11,0
343,G,35,11,0
344,G,35,10,0
345,G,35,61,0
346,G,36,8,0
347,G,36,6,0
348,G,36,5,0
349,G,36,59,0
350,G,37,1,0
351,G,37,1,0
352,G,37,1,0
353,G,37,62,0
354,G,38,0,0
355,G,38,64,0
356,G,39,0,0
357,G,39,1,0
358,G,39,62,0
359,G,40,0,0
360,G,41,1,0
361,G,41,62,0
362,G,42,2,0
363,G,42,65,0
364,G,43,2,0
365,G,43,66,0
366,G,44,8,0
367,G,44,8,0
368,G,44,66,0
369,G,45,0,0
370,G,45,15,0
371,G,45,17,0
372,G,45,18,0
373,G,48,18,0
374,G,49,19,0
375,G,50,13,0
376,G,51,11,0
377,G,51,11,0
378,G,51,10,0
379,G,52,8,0
380,G,52,8,0
381,G,52,10,0
382,G,53,1,0
383,G,54,1,0
384,G,54,1,0
385,G,54,1,0
386,G,55,1,0
387,H,0,1,0
388,H,0,9,0
389,H,0,62,0
390,H,1,0,0
391,H,1,4,0
392,H,1,64,0
393,H,2,1,0
394,H,2,1,0
395,H,2,62,0
396,H,2,24,0
397,H,3,1,0
398,H,3,2,0
399,H,3,64,0
400,H,3,14,0
401,H,4,0,0
402,H,4,1,0
403,H,4,66,0
404,H,4,33,0
405,H,5,1,0
406,H,5,4,0
407,H,5,62,0
408,H,5,9,0
409,H,6,0,0
410,H,6,3,0
411,H,6,62,0
412,H,6,6,0
413,H,7,1,0
414,H,7,4,0
415,H,7,63,0
416,H,7,34,0
417,H,8,56,0
418,H,9,4,0
419,H,9,62,0
420,H,10,2,0
421,H,10,63,0
422,H,11,64,0
423,H,11,62,0
424,H,12,2,0
425,H,12,62,0
426,H,12,64,0
427,H,13,2,0
428,H,13,2,0
429,H,13,3,0
430,H,14,6,0
431,H,14,6,0
432,H,14,6,0
433,H,14,6,0
434,H,14,59,0
435,H,15,6,0
436,H,15,6,0
437,H,15,6,0
438,H,15,6,0
439,H,15,63,0
440,H,15,60,0
441,H,16,5,0
442,H,16,5,0
443,H,16,6,0
444,H,16,5,0
445,H,16,61,0
446,H,17,4,0
447,H,17,5,0
448,H,17,5,0
449,H,17,5,0
450,H,17,64,0
451,H,18,4,0
452,H,18,4,0
453,H,18,4,0
454,H,18,3,0
455,H,18,56,0
456,H,19,2,0
457,H,19,64,0
458,H,20,0,0
459,H,20,64,0
460,H,21,0,0
461,H,21,60,0
462,H,22,0,0
463,H,22,7,0
464,H,23,0,0
465,H,24,2,0
466,H,24,61,0
467,H,25,0,0
468,H,25,61,0
469,H,26,3,0
470,H,26,3,0
471,H,27,7,0
472,H,27,4,0
473,H,27,65,0
474,H,28,1,0
475,H,28,16,0
