right_echo_point
0.0074969367,0.0087042265,0.013577898,0.0142820673,0.0196618307
left_echo_point
0.0074894349,0.0086707184,0.0135758976,0.0142965708,0.0196568388
distance

angle

emit_points
"(875, 2475)"
echo_points
"(5004, 2176)","(5000, 22)","(8375, 2619)","(8428, 4771)","(11732, 2144)"
echo_points_power
162.0005805506541,112.23045385046026,136.2341304128829,260.42272573551645,204.24250243454162
echo_points_time_r_l
"[0.0074969367, 0.0074894349]","[0.0087042265, 0.0086707184]","[0.013577898, 0.0135758976]","[0.0142820673, 0.0142965708]","[0.0196618307, 0.0196568388]"
echo_points_power_r_l
"[77.00679640184343, 84.99378414881066]","[56.1062414451198, 56.12421240534046]","[70.06312202589591, 66.17100838698698]","[129.81135073106782, 130.61137500444863]","[101.04085896765804, 103.20164346688357]"
