right_echo_point
0.0072698821,0.0085101798,0.0133518437,0.0140655152,0.0194356982
left_echo_point
0.0072603798,0.0084746713,0.0133473426,0.0140790185,0.0194287095
distance

angle

emit_points
"(1000, 2475)"
echo_points
"(5008, 2261)","(5061, 125)","(8372, 2697)","(8355, 4998)","(11736, 2353)"
echo_points_power
162.26329795233312,105.58464618923996,130.2322886631963,254.35624724124256,208.77191807340608
echo_points_time_r_l
"[0.0072698821, 0.0072603798]","[0.0085101798, 0.0084746713]","[0.0133518437, 0.0133473426]","[0.0140655152, 0.0140790185]","[0.0194356982, 0.0194287095]"
echo_points_power_r_l
"[77.12828507191347, 85.13501288041967]","[53.02099568319109, 52.56365050604887]","[66.87648468172003, 63.35580398147628]","[128.8350344968064, 125.52121274443617]","[104.02528560005807, 104.746632473348]"
