right_echo_point
0.002429906,0.0060925991,0.0063081509,0.0065252031,0.0068352777,0.0139049767
left_echo_point
0.0061101033,0.0063256552,0.0066182255,0.006790767,0.0068762875,0.0138949743
distance

angle

emit_points
"(4842, 3508)"
echo_points
"(8213, 3500)","(8332, 3500)","(6460, 109)","(8251, 5158)","(11712, 76)"
echo_points_power
132.70270690704885,1522.3028786468421,147.54662929452368,210.43402278313684,146.46373404188773
echo_points_time_r_l
"[0.0060925991, 0.0061101033]","[0.0063081509, 0.0063256552]","[0.0068352777, 0.006790767]","[0.0068352777, 0.0068762875]","[0.0139049767, 0.0138949743]"
echo_points_power_r_l
"[64.86704600734117, 67.83566089970768]","[757.9259291880802, 764.3769494587619]","[99.71498029051185, 47.83164900401183]","[99.71498029051185, 110.719042492625]","[71.9373540259465, 74.52638001594121]"
