right_echo_point
0.007235874,0.0082191098,0.0142405573
left_echo_point
0.0072578792,0.0082651209,0.0142420577
distance

angle

emit_points
"(4333, 2800)"
echo_points
"(8336, 2757)","(8365, 4917)","(11700, 35)"
echo_points_power
706.8701331936585,104.20783398299636,241.63145823616696
echo_points_time_r_l
"[0.007235874, 0.0072578792]","[0.0082191098, 0.0082651209]","[0.0142405573, 0.0142420577]"
echo_points_power_r_l
"[393.2420165821916, 313.6281166114669]","[52.945621951329876, 51.262212031666486]","[119.69661004769159, 121.93484818847536]"
