right_echo_point
0.004174138,0.0115699153
left_echo_point
0.0040105986,0.0042251502,0.0115969218
distance

angle

emit_points
"(6000, 2975)"
echo_points
"(8318, 3085)","(11629, -70)"
echo_points_power
1013.979755622748,136.50087457005486
echo_points_time_r_l
"[0.004174138, 0.0042251502]","[0.0115699153, 0.0115969218]"
echo_points_power_r_l
"[473.99002159919473, 539.9897340235533]","[68.82413670318407, 67.67673786687081]"
