right_echo_point
0.0037076182,0.0039230776,0.0041381293,0.0042126472
left_echo_point
0.0036171386,0.0036916218,0.0039070738,0.0041971435
distance

angle

emit_points
"(9658, 2100)"
echo_points
"(11702, 2087)","(11821, 2085)","(9538, 4399)","(11981, 2104)"
echo_points_power
185.55909073655528,2167.977301739572,157.65208050219556,131.89556418263254
echo_points_time_r_l
"[0.0037076182, 0.0036916218]","[0.0039230776, 0.0039070738]","[0.0041381293, 0.0041971435]","[0.0042126472, 0.0041971435]"
echo_points_power_r_l
"[87.56310444024295, 97.99598629631234]","[1022.5448107341689, 1145.4324910054029]","[88.12278440936072, 69.52929609283484]","[62.366268089797686, 69.52929609283484]"
