right_echo_point
0.001753512,0.0018280125,0.0020429932,0.0023244298
left_echo_point
0.0017185117,0.0017935123,0.002008501,0.0022279515
distance

angle

emit_points
"(10692, 1600)"
echo_points
"(11651, 1608)","(10903, 2557)","(11692, 1619)","(11811, 1622)"
echo_points_power
133.92765547947835,163.16378556961163,192.03710160066117,2253.8731782567074
echo_points_time_r_l
"[0.001753512, 0.0017185117]","[0.001753512, 0.0017935123]","[0.0018280125, 0.0017935123]","[0.0020429932, 0.002008501]"
echo_points_power_r_l
"[66.48335195049964, 67.44430352897871]","[66.48335195049964, 96.680433619112]","[95.35666798154917, 96.680433619112]","[1134.0860573578736, 1119.7871208988336]"
