right_echo_point
0.0032192282,0.0104491459
left_echo_point
0.0032257268,0.0093358783,0.01042464
distance

angle

emit_points
"(6542, 2650)"
echo_points
"(8315, 2811)","(11769, 216)"
echo_points_power
299.3388786660861,141.50405342718062
echo_points_time_r_l
"[0.0032192282, 0.0032257268]","[0.0104491459, 0.01042464]"
echo_points_power_r_l
"[165.08969960540543, 134.2491790606807]","[71.31441431261214, 70.18963911456846]"
