right_echo_point
0.0039265784,0.0099665299,0.0108547434,0.0160696674
left_echo_point
0.0039135753,0.0099655297,0.0108762486,0.0160566885
distance

angle

emit_points
"(2850, 2558)"
echo_points
"(4987, 2202)","(8352, 2755)","(8339, 4989)","(11605, 1105)"
echo_points_power
121.78647443301209,181.93501776278373,189.3706510018663,119.43330038285755
echo_points_time_r_l
"[0.0039265784, 0.0039135753]","[0.0099665299, 0.0099655297]","[0.0108547434, 0.0108762486]","[0.0160696674, 0.0160566885]"
echo_points_power_r_l
"[57.9883060483341, 63.798168384677986]","[94.02555595561805, 87.9094618071657]","[98.83920994492593, 90.53144105694035]","[64.80114972695523, 54.63215065590232]"
