right_echo_point

left_echo_point

distance

angle

emit_points
"(9908, 2717)"
echo_points
"(9864.0, 2583.0)"
echo_points_power

echo_points_time_r_l
"[(-100, -100)]"
echo_points_power_r_l

