right_echo_point
0.0022784402,0.0024933917
left_echo_point
0.0023179313,0.0025333827,0.0027483343
distance

angle

emit_points
"(10425, 1758)"
echo_points
"(11695, 1755)","(11814, 1771)"
echo_points_power
115.11951479379894,1363.0165377924432
echo_points_time_r_l
"[0.0022784402, 0.0023179313]","[0.0024933917, 0.0025333827]"
echo_points_power_r_l
"[57.50582517672968, 57.61368961706927]","[675.6016050888744, 687.4149327035686]"
