right_echo_point
0.0038915768,0.0041071218,0.0043226737
left_echo_point
0.0039010746,0.0041166241,0.0043331762,0.004407194
distance

angle

emit_points
"(9550, 1717)"
echo_points
"(11703, 1719)","(11821, 1720)","(11941, 1759)"
echo_points_power
166.19885383155628,1918.0440633856124,169.2834051578828
echo_points_time_r_l
"[0.0038915768, 0.0039010746]","[0.0041071218, 0.0041166241]","[0.0043226737, 0.0043331762]"
echo_points_power_r_l
"[82.83994381905212, 83.35891001250414]","[955.0734269246382, 962.9706364609742]","[84.210030778099, 85.07337437978381]"
