right_echo_point

left_echo_point
2.7e-05
distance

angle

emit_points
"(10550, 2575)"
echo_points
"(10513.0, 2438.0)"
echo_points_power

echo_points_time_r_l
"[(-100, -100)]"
echo_points_power_r_l

