right_echo_point
0.0051693772,0.0112463376,0.0120820384
left_echo_point
0.0051513729,0.0112203313,0.0120395282
distance

angle

emit_points
"(5492, 2483)"
echo_points
"(8329, 2763)","(11692, 2209)","(11679, 9)"
echo_points_power
122.8012046299312,118.71610523247827,108.28000512475569
echo_points_time_r_l
"[0.0051693772, 0.0051513729]","[0.0112463376, 0.0112203313]","[0.0120820384, 0.0120395282]"
echo_points_power_r_l
"[64.6380737075648, 58.163130922366406]","[56.592456233152994, 62.123648999325276]","[53.15158305628805, 55.12842206846764]"
