right_echo_point
0.0047642798,0.010815734,0.0116314301
left_echo_point
0.0047487761,0.0107917283,0.0115909204
distance

angle

emit_points
"(5725, 2400)"
echo_points
"(8320, 2816)","(11694, 2458)","(11820, 399)"
echo_points_power
100.75910432471395,157.10540295165634,111.95309350285908
echo_points_time_r_l
"[0.0047642798, 0.0047487761]","[0.010815734, 0.0107917283]","[0.0116314301, 0.0115909204]"
echo_points_power_r_l
"[52.14151149748111, 48.61759282723283]","[72.31740127380446, 84.78800167785188]","[54.40758398659017, 57.545509516268915]"
