right_echo_point
0.0025088883,0.0025918696,0.0026663528,0.0028818042,0.0030977556,0.0031727387,0.0032562199,0.0104436446
left_echo_point
0.0026108653,0.0026858484,0.0029008,0.0031907347,0.0104351426
distance

angle

emit_points
"(6717, 2975)"
echo_points
"(8151, 2884)","(6745, 1517)","(8193, 2894)","(8311, 2873)","(8469, 2832)","(11707, 82)"
echo_points_power
130.66346307291528,162.4007491141372,189.68388631333897,2211.064067777101,128.8401710467286,122.89197338284549
echo_points_time_r_l
"[0.0025918696, 0.0026108653]","[0.0026663528, 0.0026108653]","[0.0026663528, 0.0026858484]","[0.0028818042, 0.0029008]","[0.0031727387, 0.0031907347]","[0.0104436446, 0.0104351426]"
echo_points_power_r_l
"[70.05093277201746, 60.612530300897824]","[101.78821881323937, 60.612530300897824]","[101.78821881323937, 87.89566750009959]","[1192.6784886881321, 1018.3855790889689]","[68.66024345125764, 60.17992759547098]","[56.976529942933, 65.9154434399125]"
