right_echo_point
0.0028848036,0.003100255,0.0033162064,0.0106306896
left_echo_point
0.0029222951,0.0031367468,0.0106421923
distance

angle

emit_points
"(6592, 2975)"
echo_points
"(8196, 2959)","(8314, 2921)","(11780, 215)"
echo_points_power
96.257956694731,1137.5094877740094,129.1958740382957
echo_points_time_r_l
"[0.0028848036, 0.0029222951]","[0.003100255, 0.0031367468]","[0.0106306896, 0.0106421923]"
echo_points_power_r_l
"[50.12059464413135, 46.13736205059965]","[589.8950573728763, 547.614430401133]","[63.474339057521426, 65.72153498077427]"
