right_echo_point
0.0030662627,0.009030805,0.0099155176
left_echo_point
0.0090328055,0.0098930122
distance

angle

emit_points
"(6692, 2283)"
echo_points
"(11681, 2361)","(11733, 154)"
echo_points_power
399.39506560341323,191.39426945405324
echo_points_time_r_l
"[0.009030805, 0.0090328055]","[0.0099155176, 0.0098930122]"
echo_points_power_r_l
"[183.66209698475603, 215.7329686186572]","[96.91801769952843, 94.47625175452482]"
