Bat ID,Corr coef,tau [ms],with pulse or echo,first or last
D,0.397491944,0,pulse direction,last
D,0.282964041,10,pulse direction,last
D,0.280501258,20,pulse direction,last
D,0.276042671,30,pulse direction,last
D,0.269715742,40,pulse direction,last
D,0.261665094,50,pulse direction,last
D,0.252042737,60,pulse direction,last
D,0.278689226,70,pulse direction,last
D,0.228762735,80,pulse direction,last
D,0.215280606,90,pulse direction,last
D,0.200774824,100,pulse direction,last
D,0.185273546,110,pulse direction,last
D,0.169019876,120,pulse direction,last
D,0.15201457,130,pulse direction,last
D,0.134321284,140,pulse direction,last
D,0.090107026,150,pulse direction,last
D,0.097230988,160,pulse direction,last
D,0.077773341,170,pulse direction,last
D,0.057793008,180,pulse direction,last
D,0.031069029,190,pulse direction,last
D,0.013871681,200,pulse direction,last
D,-0.004131837,210,pulse direction,last
D,0.002139692,220,pulse direction,last
D,-0.041212769,230,pulse direction,last
D,-0.060218505,240,pulse direction,last
D,-0.079523974,250,pulse direction,last
D,-0.106373577,260,pulse direction,last
D,-0.122897147,270,pulse direction,last
D,-0.139354802,280,pulse direction,last
D,-0.167424793,290,pulse direction,last
D,-0.180645695,300,pulse direction,last
D,-0.193839945,310,pulse direction,last
D,-0.206981583,320,pulse direction,last
D,-0.220038304,330,pulse direction,last
D,-0.23297048,340,pulse direction,last
D,-0.269433978,350,pulse direction,last
D,-0.302025414,360,pulse direction,last
D,-0.298723294,370,pulse direction,last
D,-0.309236481,380,pulse direction,last
D,-0.315106704,390,pulse direction,last
D,-0.321908258,400,pulse direction,last
D,-0.328085604,410,pulse direction,last
D,-0.333564473,420,pulse direction,last
D,-0.338261741,430,pulse direction,last
D,-0.342085274,440,pulse direction,last
D,-0.344121734,450,pulse direction,last
D,-0.350304744,460,pulse direction,last
D,-0.355619302,470,pulse direction,last
D,-0.359963625,480,pulse direction,last
D,-0.364205685,490,pulse direction,last
D,-0.370375036,500,pulse direction,last
D,-0.375713942,510,pulse direction,last
D,-0.379806491,520,pulse direction,last
D,-0.38269401,530,pulse direction,last
D,-0.384254795,540,pulse direction,last
D,-0.384829558,550,pulse direction,last
D,-0.383318372,560,pulse direction,last
D,-0.379807073,570,pulse direction,last
D,-0.372904352,580,pulse direction,last
D,-0.367641543,590,pulse direction,last
D,-0.360917621,600,pulse direction,last
D,-0.294714815,-100,echo direction,last
D,-0.271820502,-90,echo direction,last
D,-0.247978908,-80,echo direction,last
D,-0.223513347,-70,echo direction,last
D,-0.198718431,-60,echo direction,last
D,-0.174294814,-50,echo direction,last
D,-0.149513054,-40,echo direction,last
D,-0.125025047,-30,echo direction,last
D,0.012742119,-20,echo direction,last
D,0.020112019,-10,echo direction,last
D,-0.044156699,0,echo direction,last
D,-0.084896852,10,echo direction,last
D,-0.062819583,20,echo direction,last
D,-0.040618204,30,echo direction,last
D,-0.018463479,40,echo direction,last
D,0.00350145,50,echo direction,last
D,0.025162678,60,echo direction,last
D,0.033741713,70,echo direction,last
D,0.067235213,80,echo direction,last
D,0.087581316,90,echo direction,last
D,0.107424417,100,echo direction,last
D,0.126895388,110,echo direction,last
D,0.145741408,120,echo direction,last
D,0.164105497,130,echo direction,last
D,0.182008271,140,echo direction,last
D,0.177459664,150,echo direction,last
D,0.216645073,160,echo direction,last
D,0.233304824,170,echo direction,last
D,0.249585841,180,echo direction,last
D,0.31521038,190,echo direction,last
D,0.323243218,200,echo direction,last
D,0.33118974,210,echo direction,last
D,0.328525744,220,echo direction,last
D,0.345551161,230,echo direction,last
D,0.352031995,240,echo direction,last
