right_echo_point
0.0047372733,0.0107877273,0.0116189271,0.0168818478
left_echo_point
0.0047262707,0.010786227,0.0116374316,0.016871864
distance

angle

emit_points
"(2400, 2550)"
echo_points
"(4997, 2253)","(8354, 2818)","(8363, 4943)","(11681, 1652)"
echo_points_power
125.8781799895155,170.86675833030426,208.84107980426717,93.66745061217233
echo_points_time_r_l
"[0.0047372733, 0.0047262707]","[0.0107877273, 0.010786227]","[0.0116189271, 0.0116374316]","[0.0168818478, 0.016871864]"
echo_points_power_r_l
"[59.871993205930075, 66.00618678358542]","[85.95513610945108, 84.91162222085319]","[106.53371220899511, 102.30736759527205]","[44.542881671574094, 49.12456894059824]"
