right_echo_point
0.0094223991,0.0101095643
left_echo_point
0.0091863424,0.0094023943,0.0100730555
distance

angle

emit_points
"(6483, 2042)"
echo_points
"(11683, 2100)","(11808, 390)"
echo_points_power
1376.1893661870286,204.53726882048775
echo_points_time_r_l
"[0.0094223991, 0.0094023943]","[0.0101095643, 0.0100730555]"
echo_points_power_r_l
"[664.6086298235455, 711.5807363634831]","[103.50712982806785, 101.03013899241991]"
