right_echo_point
0.0045137196,0.0048442991
left_echo_point
0.0045557297,0.0049103149
distance

angle

emit_points
"(5817, 3992)"
echo_points
"(8322, 4042)"
echo_points_power
1007.2623730581493
echo_points_time_r_l
"[0.0045137196, 0.0045557297]"
echo_points_power_r_l
"[500.305649403009, 506.9567236551402]"
