right_echo_point
0.0095434282,0.0098314974,0.0169502366
left_echo_point
0.0093323775,0.0095474292,0.0098480014,0.0169307683
distance

angle

emit_points
"(3075, 3658)"
echo_points
"(8349, 3640)","(8395, 4777)","(11702, 27)"
echo_points_power
1295.8845709308473,467.1785800987831,161.7107254100281
echo_points_time_r_l
"[0.0095434282, 0.0095474292]","[0.0098314974, 0.0098480014]","[0.0169502366, 0.0169307683]"
echo_points_power_r_l
"[652.0108193719431, 643.8737515589042]","[249.2154052399766, 217.96317485880647]","[80.53127511060622, 81.17945029942186]"
