right_echo_point
0.0049068141,0.0051223659,0.0124511272
left_echo_point
0.004918817,0.0051338687,0.0053494205,0.0054244385,0.0124306222
distance

angle

emit_points
"(5492, 3008)"
echo_points
"(8206, 3031)","(8325, 3007)","(11392, -518)"
echo_points_power
137.38877541846918,1587.828536083819,184.1895797252085
echo_points_time_r_l
"[0.0049068141, 0.004918817]","[0.0051223659, 0.0051338687]","[0.0124511272, 0.0124306222]"
echo_points_power_r_l
"[66.55525213476972, 70.83352328369946]","[764.8900013645592, 822.9385347192599]","[91.68722990890313, 92.50234981630534]"
